idx,영화제목,가격,할인된 가격,링크
140,맛있는 만남,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%A7%9B%EC%9E%88%EB%8A%94_%EB%A7%8C%EB%82%A8?id=bfphBUKUvt0
141,언터처블: 1%의 우정,할인하지 않는 영화입니다.,₩500,/store/movies/details/%EC%96%B8%ED%84%B0%EC%B2%98%EB%B8%94_1_%EC%9D%98_%EC%9A%B0%EC%A0%95?id=FARO4rv_ixM
142,콰이어트 플레이스 (자막판),할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%BD%B0%EC%9D%B4%EC%96%B4%ED%8A%B8_%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4_%EC%9E%90%EB%A7%89%ED%8C%90?id=6uPeUO-J7Fs
143,레드 스패로 (자막판),할인하지 않는 영화입니다.,"₩1,400",/store/movies/details/%EB%A0%88%EB%93%9C_%EC%8A%A4%ED%8C%A8%EB%A1%9C_%EC%9E%90%EB%A7%89%ED%8C%90?id=Fn2mF8LwA8Y
144,시간을 달리는 소녀_자막 (자막판),할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%8B%9C%EA%B0%84%EC%9D%84_%EB%8B%AC%EB%A6%AC%EB%8A%94_%EC%86%8C%EB%85%80_%EC%9E%90%EB%A7%89_%EC%9E%90%EB%A7%89%ED%8C%90?id=i9l52XMGn5Q
145,신비한 동물사전,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%8B%A0%EB%B9%84%ED%95%9C_%EB%8F%99%EB%AC%BC%EC%82%AC%EC%A0%84?id=tWCcwXI2eQk.P
146,마션,할인하지 않는 영화입니다.,"₩1,400",/store/movies/details/%EB%A7%88%EC%85%98?id=w6w6sxUI1zE
147,캡틴 아메리카 : 시빌 워 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%BA%A1%ED%8B%B4_%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4_%EC%8B%9C%EB%B9%8C_%EC%9B%8C_%EC%9E%90%EB%A7%89%ED%8C%90?id=WihKgBdcKh8
148,아이언맨 3,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%95%84%EC%9D%B4%EC%96%B8%EB%A7%A8_3?id=zrfxAYXoigs
149,버즈 오브 프레이(할리 퀸의 황홀한 해방),할인하지 않는 영화입니다.,"₩6,000",/store/movies/details/%EB%B2%84%EC%A6%88_%EC%98%A4%EB%B8%8C_%ED%94%84%EB%A0%88%EC%9D%B4_%ED%95%A0%EB%A6%AC_%ED%80%B8%EC%9D%98_%ED%99%A9%ED%99%80%ED%95%9C_%ED%95%B4%EB%B0%A9?id=vSbxKWDUmcA.P
150,레미제라블,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EB%A0%88%EB%AF%B8%EC%A0%9C%EB%9D%BC%EB%B8%94?id=D2wibFUsEic
151,스파이 지니어스,할인하지 않는 영화입니다.,"₩2,500",/store/movies/details/%EC%8A%A4%ED%8C%8C%EC%9D%B4_%EC%A7%80%EB%8B%88%EC%96%B4%EC%8A%A4?id=3YChxvHRz5Y.P
152,킹스맨: 골든 서클 (자막판),할인하지 않는 영화입니다.,"₩1,400",/store/movies/details/%ED%82%B9%EC%8A%A4%EB%A7%A8_%EA%B3%A8%EB%93%A0_%EC%84%9C%ED%81%B4_%EC%9E%90%EB%A7%89%ED%8C%90?id=jUUoY5qAFiQ
153,더 이퀄라이저 2,할인하지 않는 영화입니다.,₩900,/store/movies/details/%EB%8D%94_%EC%9D%B4%ED%80%84%EB%9D%BC%EC%9D%B4%EC%A0%80_2?id=C5FCV0TTCec
154,호빗: 다섯 군대 전투,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%98%B8%EB%B9%97_%EB%8B%A4%EC%84%AF_%EA%B5%B0%EB%8C%80_%EC%A0%84%ED%88%AC?id=gfiWFZFbrbU
155,신세계,할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%8B%A0%EC%84%B8%EA%B3%84?id=3CVvRapAMGE
156,토르 : 라그나로크 (자막판),할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%ED%86%A0%EB%A5%B4_%EB%9D%BC%EA%B7%B8%EB%82%98%EB%A1%9C%ED%81%AC_%EC%9E%90%EB%A7%89%ED%8C%90?id=18Ns_yUlkb4
157,아이언맨,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EC%95%84%EC%9D%B4%EC%96%B8%EB%A7%A8?id=Q9OT3kEClMw
158,인사이드 아웃 (자막판),할인하지 않는 영화입니다.,"₩2,800",/store/movies/details/%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C_%EC%95%84%EC%9B%83_%EC%9E%90%EB%A7%89%ED%8C%90?id=4c2TlDTsV9U
159,스폰지밥 (더빙판),할인하지 않는 영화입니다.,"₩1,000",/store/movies/details/%EC%8A%A4%ED%8F%B0%EC%A7%80%EB%B0%A5_%EB%8D%94%EB%B9%99%ED%8C%90?id=vfJ1f4ADV20
160,다크 나이트,할인하지 않는 영화입니다.,"₩1,200",/store/movies/details/%EB%8B%A4%ED%81%AC_%EB%82%98%EC%9D%B4%ED%8A%B8?id=or5EjsydLOQ
